num dimension = 5
size: 4 4 4 4 2 
num nodes = 512
num physical links = 4608
torus: 1 1 1 1 1 
order: 0 1 2 3 4 

MPI/OPTIQ msg chunk totalsize time(us) bandwidth(MB/s) #path totalhops totalloads loadlinks maxhops minhops avghops medhops maxload minload avgload medload

Test No. 0
Test No. 0: Disjoint 32 ranks from 0 to 31 send data to 32 ranks from 480 to 511

M  0 MPI_Alltoallv  msg = 8388608 chunk = 32768  256 3387.6000 75569.7249    32 1 1 1.00 1  536870912 16777216 16777216 16777216.00 16777216     0 0 0 0.00 0    64 2 2 2.00 2     0 0 0 0.00 0  1 1 1.00 1  8388608 8388608 8388608.00 8388608     0 0 0 0.00 0  
Hop: 32 paths has 2 hops
Path: 4544 links has 0 paths
Path: 64 links has 1 paths
Data: 64 links has 8388608 data size passed through
B_hopbyte: 32 paths has 16777216 hopbytes

O  0 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  256 4169.0000 61405.6129   249 9 3 7.78 8  930802448 11184808 1864134 3738162.44 4194304  20194 255 29 81.10 96   868 4 2 3.49 4  20219 203 28 56.95 64  2 1 1.41 1  5603328 917504 1507540.43 1179648  28411 320 28 76.99 64  
Copy: 1 nodes has 25 copies
Copy: 16 nodes has 28 copies
Copy: 8 nodes has 29 copies
Copy: 102 nodes has 32 copies
Copy: 12 nodes has 36 copies
Copy: 12 nodes has 37 copies
Copy: 16 nodes has 57 copies
Copy: 3 nodes has 60 copies
Copy: 94 nodes has 64 copies
Copy: 4 nodes has 68 copies
Copy: 1 nodes has 69 copies
Copy: 24 nodes has 73 copies
Copy: 7 nodes has 85 copies
Copy: 1 nodes has 89 copies
Copy: 7 nodes has 92 copies
Copy: 29 nodes has 96 copies
Copy: 3 nodes has 100 copies
Copy: 4 nodes has 101 copies
Copy: 6 nodes has 105 copies
Copy: 1 nodes has 109 copies
Copy: 1 nodes has 117 copies
Copy: 2 nodes has 149 copies
Copy: 1 nodes has 203 copies
